ZIP,CBSA Code,CBSA Title,Metro
7104,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7105,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7106,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7107,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7108,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7109,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7110,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7111,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7112,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7114,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7175,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7201,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7202,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7203,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7204,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7205,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7206,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7207,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7208,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7302,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7303,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7304,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7305,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7306,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7307,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7310,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7311,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7399,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7401,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7403,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7405,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7407,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7410,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7416,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7417,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7418,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7419,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7420,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7421,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7422,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7423,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7424,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7428,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7430,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7432,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7435,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7436,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7438,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7439,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7440,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7442,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7444,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7446,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7450,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7451,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7452,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7456,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7457,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7458,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7460,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7461,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7462,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7463,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7465,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7470,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7474,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7480,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7481,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7495,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7501,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7502,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7503,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7504,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7505,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7506,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7507,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7508,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7509,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7510,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7511,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7512,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7513,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7514,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
