college_id,major_id
100654,100
100858,100
101161,100
101240,100
101295,100
101471,100
101514,100
101541,100
102377,100
104160,100
104179,100
104346,100
104425,100
104577,100
105154,100
105747,100
106148,100
106397,100
106412,100
106449,100
106458,100
106467,100
106485,100
106625,100
106795,100
106999,100
107460,100
107549,100
107619,100
107983,100
108807,100
109208,100
109350,100
109819,100
110246,100
110334,100
110422,100
110486,100
110495,100
110529,100
110538,100
110556,100
110592,100
110644,100
110714,100
112190,100
113096,100
113193,100
113218,100
113573,100
113634,100
114433,100
114716,100
114859,100
115126,100
115393,100
115755,100
115861,100
117052,100
117274,100
117645,100
117706,100
118347,100
118684,100
118718,100
118772,100
118912,100
118930,100
118976,100
119067,100
119137,100
119164,100
119216,100
119331,100
120342,100
120953,100
121363,100
121707,100
122205,100
122339,100
122658,100
122889,100
123013,100
123217,100
123299,100
123341,100
123563,100
123800,100
125091,100
125462,100
126119,100
126207,100
126748,100
126818,100
127200,100
127389,100
127556,100
127565,100
127617,100
127732,100
127778,100
127918,100
128151,100
128258,100
129020,100
129729,100
130183,100
130907,100
130934,100
130943,100
132851,100
133650,100
134079,100
134130,100
134495,100
134608,100
135160,100
135559,100
135717,100
136358,100
137023,100
137096,100
137315,100
138187,100
138275,100
138558,100
138682,100
138761,100
138956,100
139384,100
139630,100
139719,100
139959,100
139986,100
140012,100
140243,100
140331,100
140678,100
140951,100
141006,100
141255,100
141565,100
141574,100
141802,100
141811,100
141839,100
142285,100
142522,100
142559,100
143215,100
143279,100
144193,100
144564,100
144865,100
145372,100
145521,100
145637,100
145682,100
145813,100
146278,100
146296,100
146348,100
146366,100
146418,100
146472,100
146506,100
146603,100
146685,100
147004,100
147916,100
148256,100
148292,100
148821,100
148991,100
149222,100
149532,100
149772,100
150048,100
150941,100
150987,100
152381,100
152637,100
153214,100
153250,100
153296,100
153311,100
153366,100
153445,100
153472,100
153524,100
153533,100
153603,100
153630,100
153737,100
153922,100
154004,100
154059,100
154110,100
154129,100
154378,100
154396,100
154493,100
154572,100
154642,100
154697,100
154800,100
154907,100
154925,100
154934,100
154952,100
154998,100
155061,100
155098,100
155104,100
155186,100
155195,100
155210,100
155399,100
155593,100
155618,100
155715,100
155858,100
156213,100
156295,100
156392,100
156620,100
156851,100
156860,100
157058,100
157085,100
157377,100
157386,100
157401,100
157951,100
158088,100
158662,100
159391,100
159647,100
159717,100
159993,100
160621,100
161192,100
161253,100
161457,100
161545,100
161572,100
162104,100
162168,100
163286,100
163338,100
163426,100
164632,100
164720,100
165033,100
165194,100
165866,100
165981,100
166018,100
166629,100
167312,100
167905,100
168740,100
168847,100
170620,100
170657,100
171100,100
171483,100
171535,100
172200,100
172307,100
172422,100
172635,100
172699,100
172954,100
173063,100
173203,100
173416,100
173559,100
173638,100
173708,100
173911,100
173920,100
174066,100
174075,100
174428,100
174473,100
174738,100
174756,100
175078,100
175236,100
175315,100
175342,100
175519,100
175652,100
175786,100
175810,100
175829,100
175883,100
176008,100
176071,100
176080,100
176178,100
176798,100
176965,100
177135,100
177472,100
177940,100
177977,100
178217,100
178369,100
178396,100
178615,100
178624,100
178697,100
179308,100
179344,100
179539,100
179548,100
179557,100
179566,100
179645,100
179715,100
179964,100
180151,100
180179,100
180197,100
180328,100
180373,100
180461,100
180489,100
180522,100
180595,100
180692,100
180902,100
180948,100
181215,100
181303,100
181464,100
181491,100
181640,100
181765,100
182005,100
182290,100
182306,100
183044,100
183099,100
183743,100
183974,100
184180,100
184205,100
184791,100
185509,100
186380,100
187648,100
187666,100
187903,100
188030,100
188100,100
188137,100
188261,100
189848,100
190415,100
190530,100
191199,100
191339,100
191676,100
191719,100
192022,100
193326,100
193946,100
196006,100
196024,100
196033,100
196042,100
196051,100
196565,100
196699,100
197850,100
197869,100
197887,100
197966,100
198039,100
198084,100
198118,100
198154,100
198206,100
198233,100
198251,100
198260,100
198534,100
198552,100
198622,100
198668,100
198710,100
198729,100
198817,100
198905,100
198914,100
198987,100
199023,100
199069,100
199087,100
199102,100
199193,100
199263,100
199333,100
199485,100
199625,100
199634,100
199698,100
199768,100
199786,100
199856,100
199892,100
199908,100
199926,100
200022,100
200059,100
200192,100
200305,100
200314,100
200332,100
201690,100
201885,100
201928,100
201973,100
202356,100
202648,100
202763,100
203155,100
203447,100
203492,100
203580,100
203748,100
204440,100
204486,100
204662,100
204796,100
204839,100
204936,100
204945,100
205470,100
205887,100
206011,100
206507,100
206914,100
206996,100
207050,100
207069,100
207209,100
207236,100
207281,100
207290,100
207306,100
207351,100
207388,100
207397,100
207935,100
208035,100
208053,100
208275,100
208390,100
208406,100
209074,100
209542,100
209746,100
209940,100
210234,100
210270,100
211149,100
211981,100
212869,100
212878,100
214591,100
214670,100
214731,100
214777,100
214795,100
215743,100
216339,100
216825,100
216940,100
217013,100
217235,100
217484,100
217882,100
218113,100
218140,100
218520,100
218733,100
218830,100
218894,100
219143,100
219189,100
219198,100
219356,100
219426,100
